════════════════════════════════════════════════════════
           VigoLang Lexical Analyzer Output             
           Author: Muhammad Ahmad                       
           Reg: L1F22BSCS0634                           
           Input File: valid_program.vigo            
════════════════════════════════════════════════════════

Line 4: KEYWORD_VOID -> namaloom
Line 14: PUNCTUATION_TERMINATOR -> @
Line 15: KEYWORD_CHAR -> ishara
Line 15: IDENTIFIER -> ^symbol
Line 15: OPERATOR_ASSIGN -> :=
Line 15: CHAR_LITERAL -> 'C'
Line 15: PUNCTUATION_TERMINATOR -> @
Line 16: PUNCTUATION_BLOCK_END -> }}
Line 16: PUNCTUATION_TERMINATOR -> @
Line 19: KEYWORD_CONST -> ain
Line 19: KEYWORD_INT -> qaidi_no
Line 19: IDENTIFIER -> ^MAX_VALUE
Line 19: OPERATOR_ASSIGN -> :=
Line 19: NUMBER_INTEGER -> 100
Line 19: PUNCTUATION_TERMINATOR -> @
Line 20: KEYWORD_CONST -> ain
Line 20: KEYWORD_FLOAT -> float_sarkar
Line 20: IDENTIFIER -> ^PI
Line 20: OPERATOR_ASSIGN -> :=
Line 20: NUMBER_FLOAT -> 3.14159
Line 20: PUNCTUATION_TERMINATOR -> @
Line 23: KEYWORD_INT -> qaidi_no
Line 23: IDENTIFIER -> ^is_active
Line 23: OPERATOR_ASSIGN -> :=
Line 23: KEYWORD_TRUE -> neutral
Line 23: PUNCTUATION_TERMINATOR -> @
Line 24: KEYWORD_INT -> qaidi_no
Line 24: IDENTIFIER -> ^is_disabled
Line 24: OPERATOR_ASSIGN -> :=
Line 24: KEYWORD_FALSE -> janwar
Line 24: PUNCTUATION_TERMINATOR -> @
Line 27: KEYWORD_MAIN -> ghq
Line 27: PUNCTUATION_EXPR_START -> [[
Line 27: PUNCTUATION_EXPR_END -> ]]
Line 27: PUNCTUATION_BLOCK_START -> {{
Line 29: KEYWORD_INT -> qaidi_no
Line 29: IDENTIFIER -> ^number
Line 29: OPERATOR_ASSIGN -> :=
Line 29: NUMBER_INTEGER -> 5
Line 29: PUNCTUATION_TERMINATOR -> @
Line 30: KEYWORD_INT -> qaidi_no
Line 30: IDENTIFIER -> ^factorial
Line 30: OPERATOR_ASSIGN -> :=
Line 30: NUMBER_INTEGER -> 1
Line 30: PUNCTUATION_TERMINATOR -> @
Line 31: KEYWORD_INT -> qaidi_no
Line 31: IDENTIFIER -> ^counter
Line 31: OPERATOR_ASSIGN -> :=
Line 31: NUMBER_INTEGER -> 1
Line 31: PUNCTUATION_TERMINATOR -> @
Line 32: KEYWORD_FLOAT -> float_sarkar
Line 32: IDENTIFIER -> ^ratio
Line 32: OPERATOR_ASSIGN -> :=
Line 32: NUMBER_FLOAT -> 2.5
Line 32: PUNCTUATION_TERMINATOR -> @
Line 33: KEYWORD_STRING -> bayania
Line 33: IDENTIFIER -> ^message
Line 33: OPERATOR_ASSIGN -> :=
Line 33: STRING_LITERAL -> "Welcome to VigoLang"
Line 33: PUNCTUATION_TERMINATOR -> @
Line 34: KEYWORD_CHAR -> ishara
Line 34: IDENTIFIER -> ^grade
Line 34: OPERATOR_ASSIGN -> :=
Line 34: CHAR_LITERAL -> 'A'
Line 34: PUNCTUATION_TERMINATOR -> @
Line 35: KEYWORD_INT -> qaidi_no
Line 35: IDENTIFIER -> ^flag
Line 35: OPERATOR_ASSIGN -> :=
Line 35: KEYWORD_TRUE -> neutral
Line 35: PUNCTUATION_TERMINATOR -> @
Line 38: KEYWORD_PRINT -> farmaan
Line 38: OPERATOR_OUTPUT -> <<
Line 38: STRING_LITERAL -> "Starting factorial calculation"
Line 38: PUNCTUATION_TERMINATOR -> @
Line 39: KEYWORD_PRINT -> farmaan
Line 39: OPERATOR_OUTPUT -> <<
Line 39: IDENTIFIER -> ^number
Line 39: PUNCTUATION_TERMINATOR -> @
Line 42: KEYWORD_IF -> order_hai
Line 42: PUNCTUATION_EXPR_START -> [[
Line 42: IDENTIFIER -> ^number
Line 42: OPERATOR_LESS -> <?
Line 42: NUMBER_INTEGER -> 0
Line 42: PUNCTUATION_EXPR_END -> ]]
Line 42: PUNCTUATION_BLOCK_START -> {{
Line 43: KEYWORD_PRINT -> farmaan
Line 43: OPERATOR_OUTPUT -> <<
Line 43: STRING_LITERAL -> "Error: Negative number"
Line 43: PUNCTUATION_TERMINATOR -> @
Line 44: IDENTIFIER -> ^number
Line 44: OPERATOR_ASSIGN -> :=
Line 44: NUMBER_INTEGER -> 0
Line 44: PUNCTUATION_TERMINATOR -> @
Line 45: PUNCTUATION_BLOCK_END -> }}
Line 46: KEYWORD_ELSE_IF -> doosra_order
Line 46: PUNCTUATION_EXPR_START -> [[
Line 46: IDENTIFIER -> ^number
Line 46: OPERATOR_EQUAL -> =?
Line 46: NUMBER_INTEGER -> 0
Line 46: PUNCTUATION_EXPR_END -> ]]
Line 46: PUNCTUATION_BLOCK_START -> {{
Line 47: IDENTIFIER -> ^factorial
Line 47: OPERATOR_ASSIGN -> :=
Line 47: NUMBER_INTEGER -> 1
Line 47: PUNCTUATION_TERMINATOR -> @
Line 48: KEYWORD_PRINT -> farmaan
Line 48: OPERATOR_OUTPUT -> <<
Line 48: STRING_LITERAL -> "Factorial of 0 is 1"
Line 48: PUNCTUATION_TERMINATOR -> @
Line 49: PUNCTUATION_BLOCK_END -> }}
Line 50: KEYWORD_ELSE -> warna_vigo
Line 50: PUNCTUATION_BLOCK_START -> {{
Line 52: KEYWORD_FOR -> long_march
Line 52: PUNCTUATION_EXPR_START -> [[
Line 52: IDENTIFIER -> ^counter
Line 52: OPERATOR_ASSIGN -> :=
Line 52: NUMBER_INTEGER -> 1
Line 52: PUNCTUATION_TERMINATOR -> @
Line 52: IDENTIFIER -> ^counter
Line 52: OPERATOR_LESS -> <?
Line 52: IDENTIFIER -> ^number
Line 52: OPERATOR_ADD -> +:
Line 52: NUMBER_INTEGER -> 1
Line 52: PUNCTUATION_TERMINATOR -> @
Line 52: IDENTIFIER -> ^counter
Line 52: OPERATOR_ASSIGN -> :=
Line 52: IDENTIFIER -> ^counter
Line 52: OPERATOR_ADD -> +:
Line 52: NUMBER_INTEGER -> 1
Line 52: PUNCTUATION_EXPR_END -> ]]
Line 52: PUNCTUATION_BLOCK_START -> {{
Line 53: IDENTIFIER -> ^factorial
Line 53: OPERATOR_ASSIGN -> :=
Line 53: IDENTIFIER -> ^factorial
Line 53: OPERATOR_MUL -> *:
Line 53: IDENTIFIER -> ^counter
Line 53: PUNCTUATION_TERMINATOR -> @
Line 56: KEYWORD_IF -> order_hai
Line 56: PUNCTUATION_EXPR_START -> [[
Line 56: IDENTIFIER -> ^counter
Line 56: OPERATOR_EQUAL -> =?
Line 56: NUMBER_INTEGER -> 10
Line 56: PUNCTUATION_EXPR_END -> ]]
Line 56: PUNCTUATION_BLOCK_START -> {{
Line 57: KEYWORD_PRINT -> farmaan
Line 57: OPERATOR_OUTPUT -> <<
Line 57: STRING_LITERAL -> "Reached limit"
Line 57: PUNCTUATION_TERMINATOR -> @
Line 58: KEYWORD_BREAK -> deal_ho_gai
Line 58: PUNCTUATION_TERMINATOR -> @
Line 59: PUNCTUATION_BLOCK_END -> }}
Line 62: KEYWORD_IF -> order_hai
Line 62: PUNCTUATION_EXPR_START -> [[
Line 62: IDENTIFIER -> ^counter
Line 62: OPERATOR_EQUAL -> =?
Line 62: NUMBER_INTEGER -> 3
Line 62: PUNCTUATION_EXPR_END -> ]]
Line 62: PUNCTUATION_BLOCK_START -> {{
Line 63: KEYWORD_CONTINUE -> chaltay_raho
Line 63: PUNCTUATION_TERMINATOR -> @
Line 64: PUNCTUATION_BLOCK_END -> }}
Line 65: PUNCTUATION_BLOCK_END -> }}
Line 66: PUNCTUATION_BLOCK_END -> }}
Line 69: KEYWORD_PRINT -> farmaan
Line 69: OPERATOR_OUTPUT -> <<
Line 69: STRING_LITERAL -> "Factorial result:"
Line 69: PUNCTUATION_TERMINATOR -> @
Line 70: KEYWORD_PRINT -> farmaan
Line 70: OPERATOR_OUTPUT -> <<
Line 70: IDENTIFIER -> ^factorial
Line 70: PUNCTUATION_TERMINATOR -> @
Line 73: KEYWORD_INT -> qaidi_no
Line 73: IDENTIFIER -> ^temp
Line 73: OPERATOR_ASSIGN -> :=
Line 73: IDENTIFIER -> ^number
Line 73: PUNCTUATION_TERMINATOR -> @
Line 74: KEYWORD_WHILE -> jab_tak_missing
Line 74: PUNCTUATION_EXPR_START -> [[
Line 74: IDENTIFIER -> ^temp
Line 74: OPERATOR_GREATER -> >?
Line 74: NUMBER_INTEGER -> 0
Line 74: PUNCTUATION_EXPR_END -> ]]
Line 74: PUNCTUATION_BLOCK_START -> {{
Line 75: IDENTIFIER -> ^temp
Line 75: OPERATOR_ASSIGN -> :=
Line 75: IDENTIFIER -> ^temp
Line 75: OPERATOR_SUB -> -:
Line 75: NUMBER_INTEGER -> 1
Line 75: PUNCTUATION_TERMINATOR -> @
Line 76: PUNCTUATION_BLOCK_END -> }}
Line 79: IDENTIFIER -> ^calculate_sum
Line 79: PUNCTUATION_EXPR_START -> [[
Line 79: IDENTIFIER -> ^number
Line 79: PUNCTUATION_COMMA -> ,
Line 79: IDENTIFIER -> ^factorial
Line 79: PUNCTUATION_EXPR_END -> ]]
Line 79: PUNCTUATION_TERMINATOR -> @
Line 81: KEYWORD_STRING -> bayania
Line 81: IDENTIFIER -> ^final_message
Line 81: OPERATOR_ASSIGN -> :=
Line 81: STRING_LITERAL -> "Program complete"
Line 81: PUNCTUATION_TERMINATOR -> @
Line 82: KEYWORD_PRINT -> farmaan
Line 82: OPERATOR_OUTPUT -> <<
Line 82: IDENTIFIER -> ^final_message
Line 82: PUNCTUATION_TERMINATOR -> @
Line 85: KEYWORD_RETURN -> nro
Line 85: NUMBER_INTEGER -> 0
Line 85: PUNCTUATION_TERMINATOR -> @
Line 86: PUNCTUATION_BLOCK_END -> }}

════════════════════════════════════════════════════════
                   Scanning Statistics                   
════════════════════════════════════════════════════════
Total Lines Processed:    86
Total Tokens Recognized:  250
Total Errors Found:       0
════════════════════════════════════════════════════════
